0,N
dti_fa	0.429315,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.813438,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.2137,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.613306,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.634808,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.431971,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.553585,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.217224,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0333328,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	113,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	92.1798,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	22.1802,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	4.15595,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	21.8235,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	4.22388,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	1291.66,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	730.539,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	561.125,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	4918.9,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	7.6819,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	92.0519,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	4.02134,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	48.9638,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	4.30322,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	1.18812,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	43.0881,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	3.37869,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.832316,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.0915498,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.424722,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.776842,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.13184,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.599343,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.232608,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.15721,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.201473,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0790588,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.012133,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	7337,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	102.83,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	27.5789,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.72859,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.19686,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.2882,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	16488.1,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	12149.9,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	4338.19,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	29114.8,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	18.0631,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2360.05,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.30759,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	982.213,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.28278,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.275613,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1377.84,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.78035,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.175782,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.13788,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.421279,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.83027,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.21784,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.636487,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.339036,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.229876,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.29474,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.115725,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0178172,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6727,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	120.399,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	40.476,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.97457,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	10.3974,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.5797,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	12679.7,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	8934.91,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3744.75,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	26100.6,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	17.552,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1580.55,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.9591,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	831.405,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.3843,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.407467,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	749.146,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	7.1677,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.215448,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.129127,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.48263,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.844294,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.30058,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.616149,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.313997,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.187127,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.240022,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0942853,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0145541,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	3698,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	99.8479,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	29.373,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.39932,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.14971,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.9653,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	15294.3,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	8833.06,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	6461.26,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	31182.1,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	21.3526,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1582.51,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	7.11812,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	790.275,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.675,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.45301,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	792.234,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.6776,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.45211,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.194358,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.444289,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.844497,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.25066,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.641415,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.559626,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.32595,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.418281,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.164402,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0254558,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	4951,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	98.8797,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	29.754,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.32324,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.57015,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.0618,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13249.6,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	8170.09,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	5079.5,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	25225.1,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	20.6325,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1725.48,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.2169,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1117.35,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.7374,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.324158,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	608.13,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.89511,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.505819,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.192744,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.441226,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.824964,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.2138,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.630543,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.584356,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.338929,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.434714,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.170754,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0263491,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	7698,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	106.395,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	29.39,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.62012,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.44093,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.2986,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	17084.4,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13116.4,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3968.02,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	34819.1,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	21.1268,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2508.9,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	7.28537,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	948.918,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.2451,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.347499,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1559.99,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.8817,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.238463,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.189655,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.452349,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.830058,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.25537,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.617401,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.50443,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.297682,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.381724,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.149898,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0230961,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6562,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	122.575,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	33.4332,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.66628,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.7474,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	12.5752,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	15223.8,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13838.1,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1385.67,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	30189.1,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	19.5571,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1954.63,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.23421,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	896.037,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.8895,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.342904,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1058.6,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.66763,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.27737,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.209212,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.467563,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.892615,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.36529,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.65628,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.527256,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.311295,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.399747,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.157248,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0244576,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
number of tracts	435,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
