0,N
area of end region 2(mm^2)	16.6477,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	1.02686,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.198983,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.0918881,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.481668,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.755377,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.15872,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.553705,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.201553,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.140472,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.17992,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0705518,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.010786,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	2986,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	80.1421,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	22.2773,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.59747,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.03681,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	13.2756,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	11093.2,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	3842.68,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	7250.55,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	21978.8,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	20.0068,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1451.29,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.57568,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	893.099,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.11236,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.292087,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	558.187,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	10.8944,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.668003,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.12522,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.391538,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.798455,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.14289,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.626238,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.342011,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.229694,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.294368,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.115512,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0177281,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50008_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	367,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	102.174,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	35.6557,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	2.86557,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	19.0149,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	5.37335,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2316.96,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	766.772,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1550.19,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	7670.66,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	15.2157,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	256.57,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.44732,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	138.078,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.29898,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.96742,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	118.492,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	5.91674,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.928164,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.121171,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.47917,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.796764,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.23361,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.578343,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.308507,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.182899,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.234387,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0919703,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0141113,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50010_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1651,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	103.951,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	32.0842,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.23995,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	10.4861,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	9.9132,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	8023.2,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	3942.56,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	4080.64,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	20867.4,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	23.1445,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	915.622,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.44576,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	543.498,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	14.5178,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.21829,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	372.125,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.62673,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.628281,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.174467,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.458562,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.806369,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.21102,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.604045,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.49757,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.291233,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.37338,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.146586,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0225562,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50013_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1599,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	85.8504,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	27.0027,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.17932,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.55242,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	10.0381,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	6794.21,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	4331.33,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2462.88,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	16161,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	14.4993,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	682.555,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.96928,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	404.441,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.14584,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.649745,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	278.114,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	5.35346,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.323739,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.18286,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.460039,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.800692,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.20885,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.596613,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.538039,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.312819,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.401125,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.157513,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0242658,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50014_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5995,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	103.192,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	30.1263,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.4253,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	9.16626,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.2578,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	10271.6,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	7248.59,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3023.02,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	20934.9,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.609,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1696.1,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.73621,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	1107.56,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	11.9121,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.402496,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	588.544,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	6.69684,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.239393,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.197596,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.477719,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.802687,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.23868,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.584691,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.510736,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.302511,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.387837,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.152262,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0234288,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50015_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	477,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	118.978,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	37.0548,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.21087,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	21.7098,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	5.4804,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2806.6,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2480.5,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	326.099,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	8209.26,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	7.33855,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	223.275,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.00751,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	133.181,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	5.16555,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.629419,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	90.0933,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	2.17299,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.164654,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.187125,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.460779,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.833155,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.26965,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.614908,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.490718,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.289959,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.37187,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.146053,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.022524,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50020_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	3395,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	97.1015,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	28.4615,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.41168,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.71627,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.1403,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9464.69,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	3397.11,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	6067.59,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	20894.8,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.2007,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1262.29,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.14847,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	688.43,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.76743,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.435362,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	573.855,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.43327,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.389349,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.206382,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.44906,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.835771,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.25953,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.623892,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.551753,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.324952,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.41685,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.163768,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0252967,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50021_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	51,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	51.7992,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
