0,N
nrdi04L	0.0765611,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0118411,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	2046,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	44.0673,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	10.6707,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	4.12976,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.29828,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	13.3607,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	6178.25,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	2729.24,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3449.01,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	12013.7,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	17.1757,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	933.249,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.49505,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	500.41,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.95602,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.503563,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	432.84,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	8.21973,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.490386,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.111454,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.370665,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	1.02788,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.43029,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.826684,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.257717,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.176348,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.227229,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.0897544,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.014272,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10206_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	4247,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	55.8102,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	9.68421,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	5.76301,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.55561,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	15.6964,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	10799.4,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	10092.4,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	707.037,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	16714.3,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	17.1715,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2180.85,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.0733,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1210.38,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.6876,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.195896,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	970.462,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	8.48388,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.233002,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.156681,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.33653,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.894363,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.21046,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.736316,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.512934,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.335666,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.430965,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.169493,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0263377,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10217_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	742,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	36.0666,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	10.1945,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	3.53787,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	2.81009,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	12.8347,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	4666.25,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	1653.02,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3013.23,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	13561,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	24.4416,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	691.368,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	9.32503,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	307.492,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	11.8378,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.43172,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	383.876,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	12.6037,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	1.30005,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.210445,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.289518,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.962605,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.23565,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.826085,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.683337,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.444665,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.572199,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.225655,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0355874,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10225_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	3520,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	51.928,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	9.74293,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	5.32981,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.2184,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	16.1347,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	10617.3,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	7872.39,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2744.91,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	17980.5,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	16.2719,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2402.16,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.83106,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	950.876,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.6721,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.24847,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1451.29,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	7.59975,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.125025,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.138835,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.351669,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.866617,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.18235,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.708751,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.446629,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.293325,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.376491,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.148016,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0229609,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10227_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	3795,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	60.99,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	14.9333,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	4.08415,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	4.13164,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	14.7617,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	10438.1,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	7156.54,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3281.55,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	17773.8,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	20.1445,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2049.62,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.284,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1225.07,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.96653,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.206175,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	824.55,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	11.1779,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.476055,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.204922,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.38147,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.806185,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.15791,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.630324,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.590245,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.391692,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.502038,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.197032,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0302646,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10228_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	343,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	37.6723,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	14.4671,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	2.604,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	4.8327,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	7.7953,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	1797.95,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	582.669,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1215.28,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	5450.65,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	12.67,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	254.612,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	5.90804,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	118.492,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	6.74187,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.20509,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	136.119,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.92818,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.811098,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.211654,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.362947,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.775922,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.10545,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.611159,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.589167,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.393248,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.5039,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.197698,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0303122,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10235_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	2285,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	38.5015,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	10.4628,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	3.67984,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	2.62262,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	14.6806,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	6517.08,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	4464.52,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2052.56,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	12063.7,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	14.8958,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	1151.63,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.79376,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	634.57,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	7.91275,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.309973,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	517.057,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	6.98303,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.296278,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.10244,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.266184,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.982921,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.2431,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.852829,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.404441,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.259453,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.333571,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.131407,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0206052,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10269_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	3278,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	51.8267,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	12.3138,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	4.20882,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.12782,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	16.5696,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	11175.5,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	6308.49,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	4867,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	18174.4,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	20.6317,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2066.27,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.73666,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	933.249,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	9.75859,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.320573,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1133.02,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	10.8731,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.327807,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.0894155,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.340187,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.91092,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.22678,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.752988,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.294728,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.192271,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.246895,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.0971181,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0151077,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10271_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	3231,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	46.1331,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	15.6065,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	2.95601,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	2.8718,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	16.0641,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	9350.12,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	6240.92,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3109.2,sub-10273_dwi.Uncinate_Fasciculus_R.stat.txt	8
