0,N
dti_fa	0.489965,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.836811,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.32314,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.593648,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.435008,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.308456,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.395362,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.155169,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0238367,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5281,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	89.6485,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	40.675,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.20402,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	6.97193,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	12.8585,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	11641.6,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	5692.53,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	5949.1,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	22781.9,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	21.489,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2923.14,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.2908,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1090.91,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	10.988,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.347697,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1832.22,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	10.501,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.189073,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.0924112,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.52417,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.748092,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.21744,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.513417,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.180362,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.127716,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.163465,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.0640436,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.00974401,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10189_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5397,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	83.3139,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	36.4895,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.28323,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	7.35062,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.3343,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	8406.1,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	6168.45,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	2237.64,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	17086.4,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	18.5371,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2349.28,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	5.75956,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1115.39,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	10.1814,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.291966,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1233.89,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	8.3557,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.177763,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.109275,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.54226,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.780124,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.29691,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.521732,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.195555,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.141182,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.180748,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.0708379,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0107971,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10206_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	7852,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	103.221,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	45.4296,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.2721,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	8.93997,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.546,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	10807.3,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	8843.83,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	1963.45,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	21223.8,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	19.6448,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	3308.97,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	5.66862,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1718.63,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	8.59776,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.135126,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1590.34,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	11.047,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.241073,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.211388,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.523092,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.752522,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.24419,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.50669,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.425406,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.296856,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.379955,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.148864,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0226513,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10217_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	6186,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	84.8537,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	37.5528,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.25958,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	7.60512,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.1574,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	8296.42,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	6038.21,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	2258.21,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	18018.7,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	18.7676,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2529.47,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.05811,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1434.64,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	11.1844,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.273926,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1094.83,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	7.58323,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.16501,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.293882,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.56805,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.776761,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.31839,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.505945,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.499612,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.364264,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.466205,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.182643,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0277797,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10225_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5129,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	97.1186,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	40.5173,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.39697,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	8.54739,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.3624,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	9847.59,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	3362.83,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	6484.76,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	22105.2,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	22.4012,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2636.21,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.37636,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	951.855,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	11.1882,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.413141,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1684.35,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	11.213,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.234511,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.180785,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.531278,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.764143,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.25287,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.519781,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.340952,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.242247,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.310162,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.121569,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0185395,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10227_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	6273,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	97.0641,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	42.2857,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.29543,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	8.26762,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.7403,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	10507.6,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	7895.9,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	2611.73,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	22721.1,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	21.9861,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2730.22,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.34664,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	896.037,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	11.1132,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.433012,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1834.18,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	10.873,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.20249,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.262623,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.510909,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.787814,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.28194,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.540754,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.502349,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.353674,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.452909,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.177558,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0271104,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10228_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5889,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	87.2377,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	37.0556,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.35423,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	7.65278,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.3995,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	8903.57,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	5287.11,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	3616.46,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	20742,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	22.1273,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2476.59,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.63914,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1084.06,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	11.5171,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.384398,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1392.53,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	10.6103,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.25398,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.255864,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.480198,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.810041,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.26942,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.58035,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.526825,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.369387,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.473254,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.185641,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0284348,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10235_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5677,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	87.4177,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	37.963,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.30271,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	7.6981,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	11.3558,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	8853.63,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	5515.28,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	3338.35,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	19069.4,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	22.0544,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2464.84,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.11466,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1211.36,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	13.4919,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.472085,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1253.47,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	8.56252,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.183755,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.144748,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.514914,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.799323,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.29651,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.550728,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.286442,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.200654,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.257145,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.100902,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0154836,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-10269_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	5552,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	91.1258,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	41.1159,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.21631,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	8.68382,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	10.4937,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	7881.21,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	6264.42,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	1616.78,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	17137.3,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	17.6815,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	2470.71,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	5.70454,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1094.83,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	9.37036,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.251951,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1375.88,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	8.31114,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.157721,sub-10271_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
