0,N
radius of end region 2(mm)	7.95579,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.181137,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.114724,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.532393,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.792797,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.32505,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.52667,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.209145,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.149656,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.191638,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.0751259,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0114674,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	7374,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	108.098,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	48.3478,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.23584,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	8.28325,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	13.0502,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	14459,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	11954,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	2504.99,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	26894.8,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	22.5338,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3577.29,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.06857,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1156.52,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	11.1248,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.336184,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	2420.77,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	11.4091,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.168926,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.221679,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.538776,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.751127,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.2604,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.496491,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.424485,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.29849,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.382102,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.149733,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0228065,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10217_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	5172,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	86.3195,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	39.7074,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.17389,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.89489,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	10.9336,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	8104.48,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	5320.4,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	2784.08,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	18398.6,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	18.1879,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	2218.06,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.20531,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1010.61,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	9.36508,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.272639,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	1207.45,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	8.8228,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.202533,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.323163,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.604182,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.793902,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.40698,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.487361,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.483361,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.360281,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.461156,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.180689,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0275024,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10225_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	8315,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	98.4239,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	41.4059,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.37705,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.01191,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	14.0367,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	15230.7,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	13569.8,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	1660.85,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	28516.5,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	22.0567,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	4691.71,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.57024,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	2039.83,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	10.2363,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.161378,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	2651.88,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	11.8204,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.165524,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.18883,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.525918,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.765462,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.26055,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.517919,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.363723,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.256772,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.328772,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.128869,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0196582,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10227_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	8046,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	98.8692,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	42.4324,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.33004,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.09891,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	13.9274,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	15062.2,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	9586.12,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	5476.11,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	28621.3,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	22.3549,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	4331.33,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.6162,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1926.23,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	11.7874,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.226608,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	2405.1,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	10.5675,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.14587,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.286192,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.518106,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.80578,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.32971,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.543816,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.541047,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.380684,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.487657,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.191257,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0292668,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10228_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	7294,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	103.223,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	38.801,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.66033,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.64513,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	13.5018,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	14779.2,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	10099.3,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	4679.96,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	27738,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	21.1073,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3414.73,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.33513,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1190.8,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	10.2413,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.276708,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	2223.93,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	10.866,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.16679,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.271409,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.514506,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.813963,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.32747,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.557208,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.518446,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.366452,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.469565,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.184229,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0282478,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10235_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	6143,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	87.8368,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	37.7888,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.32441,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.21915,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	12.1672,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	10212.9,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	8962.33,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	1250.53,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	21072,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	20.8905,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3111.16,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.2761,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1550.19,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	11.167,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.252717,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	1560.96,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	9.72356,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.190286,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.150802,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.52496,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.802972,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.33238,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.538266,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.29481,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.206119,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.264089,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.103598,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0158731,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10269_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	6456,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	103.429,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	44.5961,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.31923,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	8.34876,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	12.3885,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	12467.2,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	8599.99,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	3867.16,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	24124.4,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	20.0889,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3375.56,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	5.99306,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1387.63,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	10.9785,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.272873,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	1987.93,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	9.11036,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.131166,sub-10271_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
